 N   L   xi       rms      A rms/a 
100 1.00 8 10.2548 17.5625 0.5839 
100 1.00 8 20.5097 35.1251 0.5839 
100 1.00 8 41.0194 70.2501 0.5839 
100 1.00 10 12.1503 21.0536 0.5771 
100 1.00 10 24.3006 42.1072 0.5771 
100 1.00 10 48.6013 84.2144 0.5771 
100 1.00 12 14.0875 24.4152 0.5770 
100 1.00 12 28.1749 48.8305 0.5770 
100 1.00 12 56.3498 97.6610 0.5770 
100 1.00 14 16.0731 27.6729 0.5808 
100 1.00 14 32.1462 55.3459 0.5808 
100 1.00 14 64.2925 110.6918 0.5808 
100 1.00 16 18.1038 30.8442 0.5869 
100 1.00 16 36.2075 61.6884 0.5869 
100 1.00 16 72.4151 123.3769 0.5869 
100 1.50 8 10.2548 17.3414 0.5914 
100 1.50 8 20.5097 34.6828 0.5914 
100 1.50 8 41.0194 69.3656 0.5914 
100 1.50 10 12.1503 20.7885 0.5845 
100 1.50 10 24.3006 41.5770 0.5845 
100 1.50 10 48.6013 83.1541 0.5845 
100 1.50 12 14.0875 24.1078 0.5844 
100 1.50 12 28.1749 48.2157 0.5844 
100 1.50 12 56.3498 96.4314 0.5844 
100 1.50 14 16.0731 27.3245 0.5882 
100 1.50 14 32.1462 54.6490 0.5882 
100 1.50 14 64.2925 109.2981 0.5882 
100 1.50 16 18.1038 30.4559 0.5944 
100 1.50 16 36.2075 60.9117 0.5944 
100 1.50 16 72.4151 121.8235 0.5944 
100 2.00 8 10.2548 17.1862 0.5967 
100 2.00 8 20.5097 34.3724 0.5967 
100 2.00 8 41.0194 68.7448 0.5967 
100 2.00 10 12.1503 20.6025 0.5898 
100 2.00 10 24.3006 41.2049 0.5898 
100 2.00 10 48.6013 82.4099 0.5898 
100 2.00 12 14.0875 23.8921 0.5896 
100 2.00 12 28.1749 47.7842 0.5896 
100 2.00 12 56.3498 95.5683 0.5896 
100 2.00 14 16.0731 27.0800 0.5935 
100 2.00 14 32.1462 54.1599 0.5935 
100 2.00 14 64.2925 108.3199 0.5935 
100 2.00 16 18.1038 30.1833 0.5998 
100 2.00 16 36.2075 60.3666 0.5998 
100 2.00 16 72.4151 120.7332 0.5998 
100 2.50 8 10.2548 17.0668 0.6009 
100 2.50 8 20.5097 34.1335 0.6009 
100 2.50 8 41.0194 68.2671 0.6009 
100 2.50 10 12.1503 20.4593 0.5939 
100 2.50 10 24.3006 40.9186 0.5939 
100 2.50 10 48.6013 81.8372 0.5939 
100 2.50 12 14.0875 23.7261 0.5938 
100 2.50 12 28.1749 47.4521 0.5938 
100 2.50 12 56.3498 94.9042 0.5938 
100 2.50 14 16.0731 26.8918 0.5977 
100 2.50 14 32.1462 53.7836 0.5977 
100 2.50 14 64.2925 107.5672 0.5977 
100 2.50 16 18.1038 29.9736 0.6040 
100 2.50 16 36.2075 59.9471 0.6040 
100 2.50 16 72.4151 119.8942 0.6040 
100 3.00 8 10.2548 16.9698 0.6043 
100 3.00 8 20.5097 33.9396 0.6043 
100 3.00 8 41.0194 67.8792 0.6043 
100 3.00 10 12.1503 20.3431 0.5973 
100 3.00 10 24.3006 40.6861 0.5973 
100 3.00 10 48.6013 81.3722 0.5973 
100 3.00 12 14.0875 23.5913 0.5971 
100 3.00 12 28.1749 47.1825 0.5971 
100 3.00 12 56.3498 94.3650 0.5971 
100 3.00 14 16.0731 26.7390 0.6011 
100 3.00 14 32.1462 53.4780 0.6011 
100 3.00 14 64.2925 106.9560 0.6011 
100 3.00 16 18.1038 29.8033 0.6074 
100 3.00 16 36.2075 59.6065 0.6074 
100 3.00 16 72.4151 119.2130 0.6074 
